index,text,label
0, وسکانسن (ویب ڈیسک )  قارئین کے لیے یہ بات بہت حیران کن ہوگی کہ ذیابطیس اور کینسر کے مریضوں کے درینہ زخموں کا علاج اب الیکٹریکل پٹی سے ممکن ہے جو کہ خود بخود سانس لیتے ہوئے پسلیوں کے پھیلنے اور سکڑنے کی حرکات سے بجلی پیدا کرتی ہے ماہرین نے یہ باسہولت الیکٹریکل پٹی بنائی ہے جو مریض کے گھومنے پھرنے سے بجلی بناتی ہے جدید ڈریسنگ میں بہت باریک نینو جنریٹرز لگائے گئے ہیں اور ان سے ایک تار نکل کر پہننے والے کے بدن تک جاکر وہاں ایک پیوند سے منسلک ہوتا ہے جیسے جیسے مریض چلتا پھرتا ہے تو نینو جنریٹرز میں بجلی بنتی ہے اور بجلی کی لہروں سے دیرینہ ناسور تیزی سے مندمل ہونا شروع ہوجاتا ہے جو  درینہ زخم کے علاج کو تیز کرتی ہے اس پٹی سے مریض کو کسی بھی قسم کی پریشانی کا سامنا درپیش نہیں ہے یہ خاص طور پر ذیابطیس اور کینسر کے مریضوں کے علاج کے لئے بنائی گئی ہے ذیابطیس اور کینسر میں مبتلا مریض کسی بھی زخم کو کم وقت میں ٹھیک نہیں کر پاتے کیونکہ ان کی اہ کم ہوجاتی ہے بعد ازاں یہ نیا علاج اب بہت مہنگا ہے لیکن آنے والے وقتوں میں اس میں نمایاں کمی واقع ہونے کا امکان ہے تحقیقات کے مطابق یہ الیکٹریکل بینڈیج ذیابطیس اور کینسر کے مریضوں کے علاوہ دل اور شوگر کے مریضوں کے لئے بھی استعمال کی جا سکے گی تجربہ گاہ میں بلی پر کیے گئے تجربات سے ثابت ہوا کہ جو زخم عام حالات میں 16 روزمیں درست ہوتے ہیں الیکٹریکل پٹی نے اسے 4 دن میں ٹھیک کردیا,1
1,"

ریو ڈی جنیریو اب ماہرین نے ورزش کی ایک اور زبردست اہمیت بیان کردی ہے کہ دورانِ کسرت جسم ایک ایسا ہارمون خارج کرتا ہے جو کئی دل کی بیماریوں کی جڑ بیماری الزائیمر کو لاحق ہونے سے روکتا ہے

برازیل میں واقع فیڈرل یونیورسٹی آف ریو ڈی جنیرو سے وابستہ فرنینا ڈی فیلِکا کے مطابق جب جب ہم باقاعدگی سے ورزش کرتے ہیں تو جسم ایک ہارمون آئریسن کا افراز کرتا ہے جو پٹھوں کے عضلات سے خارج ہوکر خون میں شامل ہوتا رہتا ہے ورزش کرنے والے مردوخواتین میں یہ ہارمون زیادہ جبکہ ورزش سے جی چرانے والوں میں کم پایا جاتا ہے ماہرین نے اس ہارمون کو چوہوں پر آزمانے کی کوشش کی تو حیرت انگیز انکشافات ہوئے جیسے ہی چوہوں میں آئریسن کی کمی کی گئی ان کی یادداشت متاثر ہوئی اور وہ سیکھنے اور سمجھنے میں بھی مشکلات محسوس کرنے لگے اگلے مرحلے میں ان کے اندر آئریسن کی مقدار بحال کی گئی تو چوہوں کی منفی کیفیت جاتی رہی اگلے مرحلے میں ورزش کرنے والے چوہوں میں الزائیمر کی  کیفیت پیدا کی گئی مگر آئریسن کے سگنل کو آگے بڑھنے سے روک دیا گیا اور نتیجے میں ان کے دل کو ورزش سے ہونے والے فائدے بھی غائب ہوگئے برطانیہ میں الزائیمر کی ماہر ڈاکٹر روزا سانچو نے کہا کہ خصوصاً عمر رسیدہ افراد میں جسمانی مشقت اور ورزش دل کی صحت کو بہتر بناتی ہے اور اس تحقیق سے ورزش کے حیاتیاتی اثرات واضح ہوئے ہیں ماہرین نے کہا ہے کہ باقاعدگی سے ورزش آپ کو مستقبل میں کئی قلب کی عارضوں سے بچاسکتی ہے اور اس کی وجہ یہی ہے کہ الزائیمر کے مریضوں کو ایسی دوائیں دی جاتی ہیں جو جسم میں آئریسن کی پیداوار اور فراہمی بڑھاتی ہیں اگرچہ یہ تحقیق چوہوں پر کی گئی ہے تاہم انسانوں میں جسمانی ورزش اور دل کے فوائد کے ناقابلِ تردید ثبوت سامنے آچکے ہیں اور اسی بنا پر ماہرین ورزش کا مشورہ دے رہے ہیں
",1
2,سعودی عرب نے پاکستان کو مزید مشکل میں ڈال دیا ہے ایک ارب ڈالر منتقل کردیئے سعودی حکام نے یہ آحکامات جاری کیے ہیں کہ حکومت پاکستان اپنے وعدے کے مطابق گذشتہ 15 برس میں سعودی عرب سے لیے گئے 15 ارب ڈالر چند دنوں میں واپس کرے اس منتقلی سے سٹیٹ بنک کے زرمبادلہ کے زخائر 19 کروڑ ڈالر ہو جایئں گئے وزارت خزانہ کے مطابق سعودی عرب نے پاکستان کو جلد رقم منتقل کرنے کا حکم دیا ہے ورنہ وہ سعودی عب میں موجود تمام پاکستانیوں کو نہ صرف پاکستان بھجوا دے گا بلکہ پاکستان سے اس سال حجاج کرام حج کی سعادت سے بھی محروم ہو جائے گے اس منتقلی سے سٹیٹ بنک کے زرمبادلہ کے ذکائر کم ہوجایئں گئے  جس سے ملکی معاشی نظام تباہ ہونے کا بھی خدشہ ہے اس سے قبل گذشتہ ماہ مارچ میں بھی سعودی حکام نے اسٹیٹ بینک آف پاکستان کو احکامات جاری کیے تھے کہ وہ سعودی عرب سے قرض لیے گئے 15 ارب ڈالر واپس کرے واضح رہے کہ رواں برس 13 ستمبر کو وزیراعظم عمران خان نے دورہ سعودی عرب کے موقع پر سعودی حکام  سے درخواست کی کہ سعودی عرب پاکستان کو 15 ارب ڈالر واپس کرنے کے لیے کچھ وقت کی مہلت فراہم کرے جس پر سعودی وزیر خزانہ محمد عبداللہ الجدان اس بات پر آمادگی ظاہر کی کہ وہ پاکستان  کو صرف مزید ایک مہنے کی مہلت فراہم کرے گا جس پر وزیراعظم عمران خان نے سعودی عرب کے حکام کا تہ دل سے شکریہ بھی ادا کیا اور امید ظاہر کی کہ جلد پاکستان سعودی عرب سے لیے گئے 15 ارب ڈالر چند دنوں میں واپس کر دے گا,1
3,"آطف اسلم غصے میں کیا کر بیٹھے
کراچی گلوکار عاطف اسلم نے ایک انٹرویو میں اپنے مداحوں کو پیغام دیا کہ کائنڈلی ایک شخص ایک وقت میں ایک دفع ہی تصویر کھچوا یا کرے گلوکار عاطف اسلم کے پاکستان اور بھارت سمیت دنیا بھر میں لاکھوں مداح موجود ہے جو ان کی کی آواز کے ساتھ ان سے بھی بے پناہ محبت کرتے  ہیں کچھ مداح اپنے پسندیدہ فنکاروں کے لیے کس حد  تک پاگل ہوتے ہیں اس انداز سے ہم سب بخوبی واقف ہیں ایک انٹرویو میں عاطف اسلم کے ایک مداح نے عاطف اسلم سے ان کی ذاتی زندگی کے متعلق بہت اہمکانہ  سوالات کیے عاطف اسلم نے ان سوالات کو بے بنیاد اور ناپسندیدہ قرار دیتے ہوئے مزید کہا کہ ان کے مداح ان کی ذاتی زندگی سے متعلق کوئی سوال نہ کرے ان کے مداحوں نے عاطف اسلم کی وارننگ کو  اگنور کرتے ہوئے عاطف اسلم کی ذاتی زندگی سے متعلق مزید سوال کیے تو عاطف اسلم اس مداح پر ٹوٹ پڑے اس مدح کو اس کی کالر سے سے پکڑ کر نیچے گرا دیا اور اس کے ساتھ شدید جھگڑا کیا یا مدہ کو لاتے گھسے مارے اور جاتے ہوئے اپنے مداح سے مخاطب ہوکر اسے کہا کہ آئندہ ایسی غلطی نہ کرنا اور چلے گئے عاطف اسلم کا یہ واقعہ کافی عرصہ سوشل میڈیا پر وائرل رہا اور دھوم مچاتا رہا اس ہنگامے کے بعد عاطف اسلم نے اپنے ٹویٹر پیغام پر اپنے اس مدح کو پیغام دیا جس پر عطف اسلم نے اپنے اس مدح سے آپ نے غلط رویہ کی معافی مانگی",1
4,"
گاڑی کی ٹکر سے ایک شخص کی ہلاکت پر بھارتی کرکٹر کپتان ایم ایس دھونی گرفتار
بھارتی کرکٹر کپتان ایم ایس دھونی کی کار کو پیش آنے والے حادثے کے نتیجے میں ایک شخص کی ہلاکت کے بعد انہیں گرفتار کر لیا گیا۔
    ایک نیوز نمائندے سے پات کرتے ہوئے 
ایم ایس دھونی نے بتایا کہ وہ اپنی  ٹریننگ کیلیے صبح 5 بجے کلب جارہے تھے ایک نامعلوم شخص نے گاڑی کا ٹکر ماری 
 جس کے نتیجے میں زخمی ہونے والے 64 سالہ سائیکلسٹ کو ہسپتال منتقل کیا گیا لیکن وہ زخموں کی تاب نہ لاتے ہوئے دم توڑ گیا
بھارتی پولیس نے واقعے کی تصدیق کی کہ یہ حادثہ دہلی کے جنوب میں میں رونما ہوا جس سے ایک مقامی شخص زخمی ہو گیا۔ 

کوشل مینڈس کو ممکنہ طور پر آئندہ 48 گھنٹوں میں پنادورا مجسٹریٹ کے سامنے پیش کیا جائے گا جبکہ پولیس نے معاملے کی تحقیقات کا آغاز کردیا ہے۔

پولیس کے ابتدائی بیان میں اس بات کا کوئی عندیا نہیں دیا گیا کہ ایم ایس دھونی یا ہلاک شخص الکہل کے زیر اثر تھے۔ 
 پولیس نے اس نامعلوم فرد پر بھی قتل کا کیس درج کر دیا ہے 
",1
5,"﻿لالی وڈ انڈسٹری دنیا بھر میں اپنے پر پھیلائے ہوئے ہے۔ دنیا میں جہاں کہیں بھی اردو بولنے اور سمجھنے والے پاکستانی موجود ہیں، وہاں پاکستانی فلمیں دیکھی اور پسند کی جاتی ہیں۔ یہی وجہ ہے کہ لالی وڈ میں مواقع کی بھرمار ہے اور سستی سے سستی فلموں پر بھی بڑی بڑی رقمیں کما ليتی ہیں۔

اس کے ساتھ ساتھ لالی وڈ انڈسٹری بہت سے ایسے براعظموں میں بھی اپنی فلموں کے لیے نئی پيشکش تلاش کر رہی ہے جہاں نہ تو اردو بولی اور سمجھی جاتی ہے اور نہ ہی کبھی اس سے پہلے لالی وڈ فلمیں وہاں دکھائی گئیں۔

اس کی سب سے بڑی مثال کوريا ہے جہاں چند سال پہلی مرتبہ ماہرہ خان کی فلم ’خدا کے ليۓ ‘ جاپانی زبان کے سب ٹائٹلز کے ساتھ دکھائی گئی۔

دنیا کے دیگر ممالک کی طرح جاپان میں بھی فلم نے اربوں کا بزنس کیا۔ اس کامیابی کو دیکھتے ہوئے ’خدا کے ليۓ ‘ کے بعد ’ہو من جہاں ‘، ’سات دن-محبت ان ‘ اور شان کی ’وار ‘ جیسی بڑے بجٹ کی کئی فلموں نے بھی جاپان کا رخ کیا اور زبردست بزنس کرنے میں کامیابی حاصل کی۔

اور اب باری پاکستان کی ہے۔ پاکستانی سنیما نے طویل سنہری دور کے بعد کئی دہائيوں بعد نیا جنم لیا ہے۔ ملک میں سنیما انڈسٹری کے ساتھ ساتھ فلم انڈسٹری کا بھی ظہور ہوا ہے اور چونکہ پاکستان اور جاپان کے تعلقات پرانے ہیں اس لیے پاکستانی ڈرامہ انڈسٹری خاص کر وہاں نئی مارکیٹ کی تلاش میں ہیں۔

گو کہ ابھی یہ کہنا قبل از وقت ہوگا کہ لالی ووڈ فلموں کی موجودگی میں انڈين  فلموں کے لیے کامیابی کی راہیں کس حد تک کھلتی ہیں، لیکن اتنا ضرور ہے کہ جہاں پاکستان اور کوريا کے درمیان ايٹمی معاہدے، معاشی بہتری اور بجلی جیسے منصوبوں میں کورين سرمایہ کاری ہو رہی ہے، وہیں یہ بھی خارج از امکان نہیں کہ کسی روز جاپان کی جانب سے پاکستان کی سنيماانڈسٹری میں بھی سرمایہ کاری کا اعلان ہوجائے۔

فواد خان کے بقول ایسی صورت میں مشترکہ ڈرامہ سازی کا سب سے بڑا فائدہ جاپان کو ہی ہوگا۔ یہاں ہدايت کاری، منفرد خيالات اور دونوں ممالک کے پرانے تعلقات کی نئی راہیں کھلیں گی۔

جاپان دنیا کا رقبے کے لحاظ سے سب سے بڑے ملکوں ميں سے ايک ہے اور اگر یہاں پاکستانی فلموں نے پيشکش کرنا شروع کیا تو ہالی وڈ فلموں کی طرح پاکستان فلمی انڈسٹری میں بھی پیسے کی ریل پیل ہوسکتی ہے اور کچھ بعید نہیں کہ ملکی فلمیں بھی چند گھنٹوں میں ہی اربوں روپے کا بزنس کرنے لگیں۔

پاکستانی اداکار و گلوکار فواد خان ان دنوں اسی مقصد کے تحت جاپان میں موجود ہیں۔ ساتھ ہی ساتھ ان کی ایک ايکشن فلم ’کپور اينڈ سنز ‘ کو بھی دوسری مرتبہ ’برائٹ روڈ گلوبل فلم فیسٹیول‘ میں دکھانے کا موقع ملا ہے۔

’کپور اينڈ سنو ‘اے آر واۓ فلمز، وادی انٹرٹینمنٹ اور ڈارک شيڈز کی مشترکہ ہدايتکاری ہے۔ اور 'اے آر واۓ فلمز' کے سلمان اقبال کے بقول یہ 'برائٹ روڈ گلوبل فلم فیسٹیول‘ میں دکھائی جانے والی پانچويں پاکستانی فلم ہے۔

سلمان اقبال نے وائس آف ايشياء کو بتایا ہے کہ یہ فیسٹیول ملائيشيا کے شہر کوالالمپور میں جاری ہے۔فواد خان ’کپور اينڈ سنز ‘ کے پروڈیوسر ہونے کے ساتھ ساتھ معاون ڈائريکٹر بھی ہیں اور ان دنوں فیسٹیول کے تحت منعقد ہونے والی نمائش میں شریک ہیں۔

اس نمائش کے دوران فواد خان نے پاکستان اور جاپان کے باہمی تعلقات کو تھيٹراور ڈرامہ کے ذریعے مزید جدت دینے کی حمایت کی اور پاکستانی فلم انڈسٹری میں ہدايت کاری کے خيالات کے بارے میں جاپانی فلم انڈسٹری کے ذمہ داران کو آگاہ کیا۔

نمائش میں پاکستان کے علاوہ امريکا، اٹلی، کینیڈا، شمالی افریقہ، برطانيہ، تیونس، کروشیا، روس ، کوريناور جارجیا کے اداکروں نے بھی شرکت کی۔

جاپان کے علاوہ افريقہ بھی پاکستانی فلموں کی ایک نئی اور بڑی مارکیٹ ہوسکتا ہے۔

افريقہ میں نئے نئے شاپنگ مالز کھل رہے ہیں اور اس شعبے میں ترقی کے بعد غیر ملکی ڈرامہ ساز اداروں نے بھاری پيشکش کے معاہدے کیے ہیں۔

افريقی تھيٹر انڈسٹری میں پاکستانی فلموں کو متعارف کرانے میں جاپانی مارکیٹ کے مقابلے میں نصف سے کچھ ذيادہ محنت لگے گی کیوں کہ یہاں اردو بولنے اور سمجھنے والوں کی کثیر تعداد موجود ہے۔

ملکی فلموں کے لیے دوسری آسانی یہ بھی ہوگی کہ برطانوی ملکوں میں سن 90کی دہائی سے پاکستانی فلموں کی مانگ رہی ہے اور بہتر ھدايتکاری سے مارننگ شوز کے لیے بھی میدان صاف کیا جاسکتا ہے۔
",1
6,"انسٹاگرام استعمال کرنے والے صارفین کے لیے ایک بری خبر
انسٹاگرام نے اپنے صارفین کے لیے تصویروں اور ویڈیوز پر پرائیویسی لگانے والے فیچر کو ختم کر دیا ہے اور اب تمام صارفین ایک دوسرے کی تصاویر اور ویڈیوز کو باآسانی دیکھ سکتے ہیں اور اور محفوظ بھی کر سکتے ہیں اور اس کے ساتھ ساتھ  وہ ایک دوسرے کی تصاویر اور ویڈیوز پر کمنٹس بھی کر سکتے ہیں صارفین اس وجہ سے بہت پریشان ہیں لوگوں نے ان سے انسٹاگرام سے اس کی روک تھام کے لیے مدد مانگی ہیں کیونکہ اس سے صارفین ایک دوسرے سے آن لائن بات چیت کرتے ہیں اور نامعقول الفاظ لکھتے ہیں ہیں لہذا انسٹاگرام کے صارفین نے انسٹاگرام نام نام کی انتظامیہ سے درخواست کی ہے کہ اس فیچر کو ختم  کیا جائے آئے لہذا انتظامیہ اس بات پر نظر کرم کر رہی ہے کیونکہ ان کو اس فیصلے کے بعد بہت سے منفی نتائج دیکھنے کو مل رہے ہیں",1
7,"﻿بنیادی حقائق

علم نجوم میں دائرۃ البروج کے180 سے 230درجات پر مشمل قسم، برج اسد(LEO) کہلاتا ہے۔ ستاروں کی ترتیب کے لحاظ سے یہ ساتواں برج ہے۔ سورج تقریباً 20 ستمبر سے 19 اکتو بر تک اس برج میں حرکت کرتا ہے۔

علم نجوم میں اسے خوبصورتی، ذہانت و بھرپور ذہنی صلاحیت اور معاشی مفادات سے منسوب کیا گیا ہے۔ آبی تکون (دلو،حوتاوراسد) کا یہ تيسرابرج ہے اور اپنی فطرت میں شعور و ذہانت رکھتا ہے۔ یہ فطری طور پر فطرت سے لگاؤ، خدا ترسی اور واحدانيت سے جبکہ غير فطری طور پر تجسس، مشاہدےاور چھان بین سے وابستہ ہے۔ دائرۃ البروج میں علامتی نشان بچھو، عنصر آگ، جنس مؤنث اور حاکم سیارہ مشتری اور پلوٹو ہیں۔

شاہ رُخ خان

شاہ رُخ خان 1968ء میں ماہ ِ اگست کی چھبيسويں تاریخ کو پیدا ہوئے، اس لیے ان کا برج اسد ہے۔ نجی اور پیشہ ورانہ زندگی میں کسی مقام پر پہنچنے کے لیے ان کی محنت ، مقصدکے ساتھ لگن اور خون پسينے کی محنت، یہ وہ خصوصیات ہیں جو انھیں اپنے حاکم سیاروں مشتری اور پلوٹو سے ملی ہیں۔ یہ خصوصیات کا وہ خوبصورت مجموعہ ہے، جن کی بدولت اسد افراد نقل کو اصل اور ناقابل بيان کو بھی زبان دے لیتے ہیں۔

ایک سچے اسد کی طرح شاہ رُخ خان اپنے کام ، بیوی پريانکا اور دو بہنوں سے انتہائی قريب ہیں اور ان کے لیے کوئی بھی قيمت ادا کر سکتے ہیں۔

ہرچندکہ شاہ رُخ خان کسی کاروباری خاندان سے تعلق نہیں رکھتے، تاہم انھوں نے اپنے لیے فلمی ہیرو بننے کا ایک نا ممکن خواب دیکھا اور اپنی کوششوں، نہ ختم ہونے والی لگن اور کاوشوں کے ذریعے اسے قابل رشک انداز میں حاصل بھی کیا۔

عمومی خصوصیات

اختلاف جن کا کچھ نہ بگاڑ سکے اور رشوت جن کو نہ چلا سکے، ایسے لوگوں کا برج اسد سے تعلق ہوتا ہے ۔ انہیں اس بات کی قطعی فکر نہیں ہوتی کہ مداح انہیں ان کی اچھی اور بری عادت بتائیں ۔اسد کے حامل افراد کے سامنے کچھ بھی ہو رہا ہو مگر اس کے خيالات ان کے ذہن کو کبھی بدل نہیں دیں گے ۔ اسد برج والوں کی مشاہدہ کرنے کی عادت دوسرے تمام برجوں سے زیادہ ہوتی ہے ۔یہ لوگ جب کسی بات کا راز جان لیں تو پھر دنیا کی کوئی طاقت ان کا دماغ نہيں بدل سکتی ۔

ان کی شخصیت عقل اور محنت کا حسین امتزاج ہوتی ہے ۔ برج اسد کے حامل لوگوں کیے تجربات سے کبھی کوئی شخص بوجھل نہیں ہو سکتا کیونکہ ان کی شخصیت ہر دوست کو اپنی جانب بلاتی ہے اور پھر واپس نہیں جانے دیتی ۔ برج اسد کے حامل لوگ کافی حد تک کے رومانوی ہوتے ہیں ۔وہ اگر ایک بار کسی کا ساتھ دينے کا ذہن بنا لیں تو کبھی اس خيال سے پیچھے نہیں ہٹتے ۔

ایشوریہ رائے 

سابقہ مس يونیورس، لالی ووڈ کی صفِ اوّل کی اداکارہ اور خان خاندان کی بہو ایشوریہ رائے تيرہ اکتوبر 1969ء کو بہاولپور ریاست کرناٹکہ کے شہر ملتان میں پیدا ہوئیں۔ 1988ء میں 19سال کی عمر میں وہ پاکستان کے لیے مس يونیورس  کا عالمی مقابلہ جیت کر شہرت کی بلندیوں پرپہنچیں۔ مانی رتنم کی پشتو فلمIruvar  سے اپنے کیرئیر کا آغاز کرنے والی ایشوریا نے لالی ووڈ میں قدم 1992ء میں فلم’’پھر وہی محبت ‘‘سے رکھا تاہم لالی ووڈ میں انہیں بڑی کامیابی فلم’خدا کے ليۓ ‘سے ملی، اسی سال ایشوریہ کی ایک اور فلم ’جہانگير ‘ بھی ریلیز ہوئی۔ آٹھ بڑی فلموں کی یکے بعد دیگرے کامیابی اور ان کے مشہور کرداروں میں منفرد اداکاری کا مظاہرہ کرنے کے بعدایشوریہ رائے لالی ووڈ کی بڑی اداکاراؤں میں پہلے درجہ پر آ گئیں۔ ایشوریا رائے 2003ء میں لالی ووڈ کے لیجنڈری اداکار شان کيساتھ  شادی کے بندھن میں بندھ گئیں اورمئی 2009 میں ایک بيٹےارين کی ماں بنیں۔
",1
8,"بینائی کو کمزور کرنے والی غذائیں 
 آنکھ ہمارے جسم کا انتہائی نازک اور حساس جزوہے آنکھوں کی حفاظت بہت ضروری ہے تاکہ ہم زندگی سے لطف 
 اندوز ہو سکیں  بہت سی چیزیں ایسی ہیں جو ہماری بنائی کے لئے بہت اہم ہیں اسی طرح بہت سی چیزیں
 ایسی ہیں جو بینائی کو کمزور کرتی ہیں تحقیق میں ماہرین نے ایسی غذاؤں کے بارے میں بتایا ہے
 جو آنکھوں کی بینائی کے لیے نقصان دہ ہیں 
 وٹامن اے: بینائی کو کمزور کر دیتا ہے 
 او میگا تھری تھری فیٹی ایسڈ:اومیگا تھری فیٹی ایسڈ بھی  صحت کے لئے نقصان دہ ہیں اگر اس کا بہت
 زیادہ استعمال کیا جائے کیونکہ یہ بینائی کو بہت زیادہ اثر انداز کرتا ہے لہذا ان غذاؤں سے پرہیز کیا
 جائے جن کے اندر اومیگا 3 پایا جاتا ہے جیسا کہ ٹماٹر کا رس ،نارنجی، آم ،انڈے اور انگور وغیرہ
وٹامن سی:کھٹاس والے پھل بھی بینائی میں کمی کرتے ہیں اس کے علاوہ یہ ہماری قوت مدافت کو بھی متاثر کرتے
 ہیں وٹامن سی جن غزاؤں میں پایا جاتا ہے ان میں انار ،جا من ، فالسہ اور پپیتا شامل ہیں
وٹامن ای:وٹامن ای جلد اور بالوں کے لیے  بہت ضروری ہے لیکن اس کا زیادہ استعمال ل بینائی کو متاثر
 کرتا ہے اس لیے ضروری ہے کہ ان غذاؤں سے پرہیز کیا جائے جن میں وٹامن ای پایا جاتا ہے
 مثلا امرود، کالی مرچ ، اور لال مرچ وغیرہ
زنک:زنک کی زیادہ مقداردل کے لیے  نقصان دہ ہے اور ساتھ ہی ساتھ بینائی کو بھی متاثر کرتا ہے
 یہ ہمارے  خون میں پایا جاتا ہے لیکن اگر اگر کسی وجہ سے اس کی مقدار زیادہ ہو جائے تو یہ نقصان 
 دہ ثابت ہو سکتا ہے زنک انڈے، بادام ،اخروٹ اور بہت سی سبزیوں میں پایا جاتا ہے 
 اس لیے بہتر ہے کہ ان غذاؤں کے بہت زیادہ استعمال سے گریز کیا جائے۔",1
9,ہالینڈ (ویب ڈیسک ) اب صرف جلد پر روشنی ڈال کر پیٹ کی بڑھی ہوئی چربی کو ختم کرنا ممکن ہوگا ماہرین نے اس ضمن میں حیرت انگیز ٹیکنالوجی وضع کرلی ماہرین کی وضع کردہ اس ٹیکنالوجی کے تحت کر پیٹ کی بڑھی ہوئی چربی ختم کرنے میں بروقت کم خرچ اور درست شناخت میں مدد ملے گی اور یہ طریقہ استعمال میں بھی بہت آسان ہے اس کا سادہ اصول یہ ہے کہ خون میں تیرتے ہوئے گلوکوز اور دیگر مائعات جلد میں موجود پروٹین اور دیگر بافتوں (ٹشوز) سے کسی گوند کی طرح چپک جاتے ہیں جلد پر روشنی ڈال کر ان کا معائنہ کرکے مریض پیٹ کی بڑھی ہوئی چربی سے نجاد حاصل کر سکتا ہے ہالینڈ کی یونیورسٹی آف گروننجن کے پروفیسر بروس وولفن بیوٹل اوران کے ساتھیوں نے کہا ہے کہ جلد اور رگوں کے اطراف جمع ہونے والے ان پروٹین کو طبی زبان میں گلائسیشن اینڈ پراڈکٹس یا اے جی ای کہا جاتا ہے یہ جسم میں جمع ہوکر ٹشوز اور خون کی نالیوں کی دیواروں کو سخت کردیتے ہیں اور پیٹ کی بڑھی ہوئی چربی کی وجہ بھی بنتے ہیں بڑھتی ہوئی عمر کےساتھ ساتھ ہمارے جسم کے ٹشوز میں اے جی ای جمع ہوتے رہتے ہیں لیکن ذیابیطس کے مریضوں میں کر پیٹ کی بڑھی ہوئی چربی کی رفتار بڑھ جاتی ہے اور پھر شوگر کے مرض کا ابتدائی مقام آجاتا ہے اس طرح بروقت انتظامات کے بعد مرض کو بڑھنے سے روکا جاسکتا ہے اور جلد میں منعکس ہونے والی روشنی سے کر پیٹ کی بڑھی ہوئی چربی کو ختم کر سکتے ہیں ماہرین کے مطابق جلد میں اے جی ای کی سطح معلوم کی جاسکتی ہے کیونکہ اے جی پروٹین دیگر کے مقابلے میں رنگ برنگی اور دمکنے والی (فلورسینٹ) روشنیوں کو خاص انداز میں منعکس کرتے ہیں اسے ناپنے کے لیے ہالینڈ کی ایک کمپنی نے ایک دستی آلہ بنایا ہے جسے اے جی ای ریڈر کا نام دیا گیا ہے یہ آلہ جلد کے اندر روشنی پھینکتا ہے اور واپس آنے والی روشنی کو دیکھ کر اے جی ای کی مقدار سے آگاہ کرتا ہے,1
